,Item Name,Price,Quantity,Image link
27,Foli / Phouli / Bronze Featherback, ₹219.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/_/9/_90a23515d.jpg
28,Gambas - Prawns Cooked In Sun Dried Tomato And Olives, ₹349.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/r/prawn_gambas.jpg
29,Garfish / Kola (Large), ₹229.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/a/garfish_6.jpg
30,Goan Style Chicken Cafreal (250g Pack), ₹169.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/o/goan_chicken_1.jpg
31,Granny's Masala Fried Chicken (250g Pack), ₹179.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grandma_fried_chicken_cooked_1.jpg
32,Grey Mullet / Thirutha / Bhangor / ভাঙ্গর, ₹269.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grey-mullet.jpg
33,Grouper / Reef Cod / Kalava/ Hamour (Large), ₹299.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/r/grouper_large_3.jpg
34,"Hilsa / Ilish - (Whole Fish Size 1kg-1.1kg) (Cleaned, Bengali Round cut) 1pc"," ₹2,199.00",/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/i/hilsha_pic_1_3_1_1.jpg
35,Kerala Prawn Roast (300g), ₹345.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/e/kerala-prawn-roast-cooked.jpg
36,Kolkata Bhetki / ভেটকী / Barramundi / Asian Seabass / Kalanji, ₹399.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/b/h/bhetki_1.jpg
37,Kolkata Tengra (Kolkata/Malancha), ₹449.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/y/tyangra_small.png
38,Lobster Scampi / Attukonchu / Jinga / Golda Chingdi (Large), ₹479.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/_/9/_90a29845d_1.jpg
39,Mahi Mahi / Pulli Motha, ₹179.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/a/mahi-mahi.jpg
40,Malabar Chicken Samosas - Pack of 4 (130g to 150g), ₹185.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/a/samosa4.jpg
41,Mix Fish Head and Tail - Curry Cut, ₹99.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/i/mix.jpg
42,Mud Crab (Medium), ₹499.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/u/mud_crab_5b3a57645d_1.jpg
43,Nawabi Chicken Seekh Kebab- 250g pack, ₹249.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_-_seekh_kebabs.jpg
44,Nawabi Kakori Mutton Kebab- 250g Pack, ₹299.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/kakori_kebab3.jpg
45,Pearl Spot / Karimeen / Koral (Large), ₹349.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/karimeen_large_1_2.jpg
46,Peri Peri Chicken Wings (350g Pack), ₹280.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/3/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/e/peri_peri_chicken_wings_2.jpg
