,Item Name,Price,Quantity,Image link
27,"Handmade Nawabi Mutton Seekh Kebabs (3 to 5 pieces, 140g to 160g)", ₹125.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/e/kebab-1_1_4.jpg
28,Herb-Stuffed Whole Roast Chicken (1.1kg to 1.3kg pack), ₹325.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/e/herb-stuffed_whole_roast_chicken.jpg
29,"Hilsa / Ilish - (Whole Fish Size 900gm-1kg) (Cleaned, Bengali Round cut) 1pc"," ₹1,618.00",/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/i/hilsa-fish_01_2.jpg
30,Horse Mackerel / Ayala Para / Vankada, ₹159.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/o/horse_mackerel_7.jpg
31,Jumbo Flower Tiger Shrimp (Large), ₹409.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a75615d-edit_1.jpg
32,Kerala Prawn Roast (300g), ₹325.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/e/kerala-prawn-roast-cooked.jpg
33,Leather Jacket, ₹209.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/l/e/leatherjacket_whole.jpg
34,Lobster Scampi / Attukonchu / Jinga / Golda Chingdi (Large), ₹579.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/_/9/_90a29845d_1.jpg
35,Mackerel / Ayala / Bangda / Aylai (5 to 9 Count/kg), ₹219.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/a/mackerel-whole_2.jpg
36,Mahi Mahi / Pulli Motha, ₹149.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/a/mahi-mahi.jpg
37,Marinated Indian Baasa / Pangasius fillets (250g pack), ₹160.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/a/malai_chicken_tikka_1_1.jpg
38,Marinated Tender Chicken Chilli (240g+), ₹165.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chilli_chicken_1_1.jpg
39,Marine Milk Fish / Poomeen (Large), ₹229.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/i/m/img_10645d-edit-poomeen_3.jpg
40,Mud Crab (Medium), ₹329.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/u/mud_crab_5b3a57645d_1.jpg
41,Mutton Meat Ball Curry / Mutton Kola Urundai Kolambu - 300g Pack, ₹325.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/u/mutton-kola-urundai-kolambu.jpg
42,Mutton Mince Dry Fry / Kheema Matar (300g+), ₹249.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/u/mutton_kheema_3.jpg
43,Pearl Spot / Karimeen / Koral (Large), ₹279.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/karimeen_large_1_2.jpg
44,Peri Peri Chicken Wings (350g Pack), ₹249.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/e/peri_peri_chicken_wings_2.jpg
45,Pony Fish / Podi Mullan (Extra Small), ₹129.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/o/pony_5b3a72485d-edit.jpg
46,Premium Antibiotic-residue-free Boneless Chicken Cubes, ₹209.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken-cubes_3.jpg
47,Premium Antibiotic-residue-free Chicken Dressed with Skin (Whole Chicken), ₹104.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/w/h/whole-chicken_with-skin.jpg
48,Premium Antibiotic-residue-free Chicken Thigh (Boneless), ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/h/thighs.jpg
49,Premium Antibiotic-residue-free Chicken Winglets, ₹119.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken-wings.jpg
50,Premium Boneless Antibiotic-residue-free Chicken Breast Fillet, ₹219.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken-breast.jpg
51,Premium Fresh Chicken Mince / Kheema, ₹229.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken-mince.jpg
52,Premium Goat - Ribs and Chops, ₹449.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/o/goat_chops2.jpg
53,Premium Goat - Shanks, ₹489.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/l/a/lamb-shanks.jpg
54,Premium Goat Kidney - Curry Cut 250g Pack, ₹498.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/o/goat_kidney_3.jpg
55,Premium Goat Mince / Kheema, ₹599.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/o/goat_mince_1_1.jpg
56,Premium Goat Raan / Leg Portion, ₹474.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/o/goat_whole_leg.jpg
57,Premium Kumarakom Karimeen / Pearlspot (Large), ₹309.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/u/kumarakom_karimeen_large.jpg
58,Premium Tender and Antibiotic-residue-free Chicken (Skinless), ₹89.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/f/a/farm_chicken.jpg
59,Premium Tender Goat - Biryani Cut, ₹449.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/g/o/goat_biryani_cut_3.jpg
60,Premium Tender Goat - Curry Cut, ₹429.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/m/u/mutton-curry-cut.jpg
61,Preservative Free Malabar Mackerel / Ayala / Bangda Pickle - 150g pack, ₹159.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/a/y/ayala_pickle_1.jpg
62,Preservative Free Malabar Medium Prawns Pickle - 150g pack, ₹149.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/r/prawn_pickle.jpg
63,Preservative Free Malabar Style Chicken Pickle - 150g+ pack, ₹125.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chicken_pickle_1.jpg
64,Quail / Kaada (Japanese) Skinless - Pack of 2, ₹150.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/q/u/quail_4.jpg
65,Queen Fish / Leather Skin Fish, ₹199.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/q/u/queen-fish.jpg
66,Red Snapper / Chempalli / Rane (Large), ₹259.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/r/e/red-snapper_big.jpg
67,Rohu / Rui (1kg to 1.5kg), ₹109.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/r/o/rohu_12.jpg
68,Sail Fish / Ola Meen, ₹169.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/a/sail-fish.jpg
69,Sea Crab, ₹149.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/r/crab_whole.jpg
70,Seer Fish / King Fish / Surmai / Neymeen / Vanjaram / Anjal (2kg to 5kg), ₹439.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/e/see_fish_1.jpg
71,Seer Fish / King Fish / Surmai / Neymeen / Vanjaram / Anjal (5kg+), ₹509.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/e/seer-fish-5.jpg
72,Shark (Super Tasty), ₹209.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/h/shark_5b3a44025d-edit_-_copy_1_1.jpg
73,Silver Belly / Avoli Mullan, ₹139.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/a/pa-mullan.jpg
74,Silver Pomfret / Avoli (100g to 200g), ₹579.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/w/h/white-pomfret-whitepomfregfishwhole_4_1.jpg
75,Silver Pomfret / Avoli (200g to 300g), ₹569.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/i/silver_pomfret_7.jpg
76,Skewered Tandoori Prawns (250g Pack), ₹249.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/k/skewered_tandoori_prawns.jpg
77,"Small Cleaned Prawns / Kocho Chingdi - Peeled, Cleaned but not deveined (PUD)", ₹289.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/e/peeled_small_prawn_5b3a66565d_2_1.jpg
78,"Smoked Chicken Breast (ready-to-eat, 200g Pack)", ₹229.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/m/smoked_chicken_breast.jpg
79,Sole Fish / Manthal / Repti (Extra Small & Crunchy), ₹209.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a40675d-edit-2.jpg
80,Spanish Seer Fish (Large), ₹359.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/p/spanish-seer.jpg
81,Squid / Koonthal, ₹329.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a85125d-edit_1.jpg
82,Squid / Koonthal (Large), ₹369.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a85125d-edit_1_2.jpg
83,Striped Mullet / Kanambu / Pashe / Boi / Flathead Grey Mullet, ₹209.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/kanambu.jpg
84,Sword Fish, ₹149.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/w/sword_fish.jpg
85,Tandoori Baasa Boneless Fillets, ₹125.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/a/tandoori-baasa_cooked.jpg
86,Tandoori Chicken Legs, ₹149.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/a/tandoori-chicken-legs-fried.jpg
87,Tiger Prawn (Super Jumbo), ₹599.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/i/tiger_prawns5_1_1.jpg
88,Tiger Prawn (Super Large), ₹529.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/i/tiger_prawns5_1_2.jpg
89,Tiger Prawns (Large), ₹369.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/i/tigerprawn25count-tigerprawnswhole_8.jpg
90,Trevally / Vatta (Large), ₹229.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/t/r/trevally_large.jpg
91,White Fish / False Trevally / Parava, ₹229.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/p/a/parva_whole.jpg
92,White Prawns / Indian Naaran (Medium), ₹249.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/5/b/5b3a82935d.jpg
93,White Snapper / Vela Meen, ₹239.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/w/h/white-snapper-whole.jpg
94,Wild Caught Prawn / Jhinga / Kazhanthan (Small), ₹229.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/k/a/kazhanthan_small.jpg
95,Yellow Fin Tuna / Kera, ₹169.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/y/e/yellow_fin_tuna_3.jpg
96,Yellow Snapper, ₹189.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/i/m/images-website-yellow-snapper-0103-1.jpg
97,Honey Mustard Chicken Wings (250g Pack), ₹199.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/h/o/honey-mustard-chicken-wings_2.jpg
98,Premium Boneless Antibiotic-residue-free Chicken Thin Steaks (250g Pack), ₹99.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/c/h/chiken_thin_steaks.jpg
99,Sand Lobster / Flathead Lobster / Slipper lobster, ₹259.00,/500g,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/s/a/san_lobster.jpg
100,Rainbow Immunity Box, ₹225.00,/pack,https://static.freshtohome.com/media/catalog/product/cache/2/small_image/200x133/fcd3bd6c3efbd120e0394bcc9203d80f/r/a/rainbow-ox-1-_800x533.jpg
